phase,study,task,predictor,seed,status,epochs,train_samples,val_samples,train_loss,train_pred_loss,train_anti_collapse,train_ac_mean_norm,train_ac_cov_trace,train_ac_cov_min_eig,train_ac_cov_max_eig,train_ac_effective_rank,val_pred_loss,val_cov_trace,val_cov_min_eig,val_cov_max_eig,val_effective_rank,val_aliasing_rate,head_type,label_fraction,head_epochs,train_acc,test_loss,test_acc,train_mse,test_mse,test_mae,exactish_rate,variant,damage_type,damage_level,segments,active_segments,total_length,tube_area,junction_area,surface,delivered_traffic,normalized_surface,gate_entropy,load_gini,surface_degradation,traffic_degradation
phase1_pilot,study3,,,1,complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,sparsity,none,0.0,256.0,163.0,55.20398661421923,12.483808077528614,2.152074612160173,14.635882689688788,72.03262129940335,0.2031840910914924,0.5584645999488985,0.6161836883235801,,
phase1_pilot,study3,,,1,complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,sparsity,uniform,0.05,256.0,155.0,51.393033174245126,11.550645750921657,2.0533394751918035,13.60398522611346,65.89865973243852,0.206437965192068,0.5293272150707118,0.630640209452237,0.0032538741005756,6.133961566964828
phase1_pilot,study3,,,1,complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,sparsity,uniform,0.1,256.0,145.0,50.282229112975664,11.39683934245567,2.0616202290516026,13.458459571507271,66.53823905983093,0.2022665426625254,0.5038157582704692,0.6494839412593099,-0.000917548428967,5.494382239572417
phase1_pilot,study3,,,1,complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,sparsity,uniform,0.15,256.0,140.0,45.98996601608738,10.326216177161031,1.9341043241591236,12.260320501320155,60.899007509289774,0.2013221725729553,0.4776508354845654,0.6667843817574726,-0.0018619185185371,11.133613790113571
phase1_pilot,study3,,,1,complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,sparsity,spatial,0.05,256.0,153.0,52.55504370251517,11.85955761469656,2.0639605286153824,13.923518143311943,67.4947078598221,0.2062905164382133,0.5284972137783778,0.6434069052078728,0.0031064253467208,4.537913439581246
phase1_pilot,study3,,,1,complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,sparsity,spatial,0.1,256.0,145.0,50.14676261307403,11.368042996175207,2.036233797542703,13.40427679371791,66.50390585087027,0.2015562337309988,0.5014164194938405,0.6602774093787369,-0.0016278573604936,5.528715448533077
phase1_pilot,study3,,,1,complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,sparsity,spatial,0.15,256.0,141.0,47.94370343624844,10.83263665588029,1.9280846166591816,12.760721272539472,60.30263531084159,0.2116113367955771,0.4754092236469074,0.6676963913988323,0.0084272457040846,11.729985988561758
phase1_pilot,study3,,,1,complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,sparsity,load_targeted,0.05,256.0,150.0,49.62751849757196,10.564399934666248,1.84129616580952,12.405696100475769,50.569413953681405,0.2453201476565548,0.5270009185145634,0.5743119733186877,0.0421360565650623,21.46320734572194
phase1_pilot,study3,,,1,complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,sparsity,load_targeted,0.1,256.0,137.0,44.26771427797933,9.015150798415029,1.623940410090998,10.639091208506024,39.203918515981634,0.271378260350561,0.4938095686353785,0.5656697545796454,0.0681941692590685,32.82870278342171
phase1_pilot,study3,,,1,complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,sparsity,load_targeted,0.15,256.0,125.0,40.8342567811497,8.080954972307943,1.4714183459310746,9.552373318239017,32.13460779324418,0.2972612386224501,0.4623899376577747,0.5736668376255412,0.0940771475309576,39.89801350615917
phase1_pilot,study3,,,1,complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,euclidean_length,none,0.0,256.0,149.0,42.3832301611887,8.735316102883012,1.9349012369627911,10.670217339845802,57.75016802916173,0.1847651305985825,0.5691698826341778,0.5806554963323269,,
phase1_pilot,study3,,,1,complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,euclidean_length,uniform,0.05,256.0,144.0,40.253560792017495,8.312425625363312,1.8926398797742403,10.205065505137553,55.69502169570032,0.1832311971986012,0.5414606472732895,0.6028465898836199,-0.0015339333999812,2.0551463334614084
phase1_pilot,study3,,,1,complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,euclidean_length,uniform,0.1,256.0,135.0,38.105122499527695,7.856007072762602,1.8235047188917883,9.67951179165439,52.00785081715601,0.1861163581595302,0.5112769641448451,0.6253457994854974,0.0013512275609477,5.742317212005716
phase1_pilot,study3,,,1,complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,euclidean_length,uniform,0.15,256.0,131.0,36.27456043490379,7.536892106172402,1.800502519762095,9.337394625934497,52.27134922775302,0.1786331281303631,0.489972700438149,0.642942167345437,-0.0061320024682193,5.478818801408707
phase1_pilot,study3,,,1,complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,euclidean_length,spatial,0.05,256.0,139.0,40.20713178862013,8.266986545090855,1.844646039482317,10.111632584573172,53.63322471969602,0.1885329967671045,0.5378254695937199,0.6066779679696244,0.003767866168522,4.116943309465711
phase1_pilot,study3,,,1,complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,euclidean_length,spatial,0.1,256.0,133.0,37.90949712575781,7.840143263407704,1.8360331020890732,9.676176365496778,53.905839200267,0.179501451183304,0.5106033068634741,0.6303166087134251,-0.0052636794152784,3.844328828894725
phase1_pilot,study3,,,1,complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,euclidean_length,spatial,0.15,256.0,120.0,35.99850681474602,7.37231058682881,1.6933146028939512,9.06562518972276,46.77747438535283,0.1938032206078957,0.4800204329248664,0.6443201620616921,0.0090380900093132,10.972693643808896
phase1_pilot,study3,,,1,complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,euclidean_length,load_targeted,0.05,256.0,136.0,40.45927048133426,8.119611851320197,1.662145856926842,9.78175770824704,41.37707593416791,0.2364052433634033,0.5360131685039728,0.5332351639248789,0.0516401127648208,16.373092094993815
phase1_pilot,study3,,,1,complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,euclidean_length,load_targeted,0.1,256.0,123.0,38.30495591704477,7.51777733862524,1.4840338334173035,9.001811172042544,32.72436380998187,0.2750797913616257,0.5020501979707641,0.5239992177002033,0.0903146607630431,25.02580421917986
