study,task,predictor,variant,damage_type,damage_level,head_type,metric,n_rows,n_seeds,mean,sd,median,q25,q75,boot_ci_low,boot_ci_high
study2,maze_action,,,,,classification,train_acc,4,4,0.2763157933950424,0.015193421797376858,0.2763157933950424,0.2631579041481018,0.289473682641983,0.2631579041481018,0.289473682641983
study2,maze_action,,,,,classification,test_loss,4,4,1.3871884644031525,0.002788873661808966,1.387803316116333,1.3858080804347992,1.3891837000846865,1.3848884403705597,1.3893357515335083
study2,maze_action,,,,,classification,test_acc,4,4,0.248046875,0.033979136329947625,0.25390625,0.232421875,0.26953125,0.21875,0.2734375
study2,sorting_head,,,,,regression,label_fraction,4,4,0.1,0.0,0.1,0.1,0.1,0.1,0.1
study2,sorting_head,,,,,regression,head_epochs,4,4,8.0,0.0,8.0,8.0,8.0,8.0,8.0
study2,sorting_head,,,,,regression,train_mse,4,4,0.2632363624870777,0.02595923513823133,0.2677370011806488,0.2501590959727764,0.28081426769495005,0.24171145632863042,0.2832082659006119
study2,sorting_head,,,,,regression,test_mse,4,4,0.24961075931787485,0.02613741263267676,0.25296193361282343,0.23563726246356959,0.26693543046712875,0.2284022569656372,0.2699431926012039
study2,sorting_head,,,,,regression,test_mae,4,4,0.4020352214574814,0.02670302172487458,0.4079809635877609,0.39498287439346313,0.4150333106517792,0.3761758729815483,0.4192099869251251
study2,sorting_head,,,,,regression,exactish_rate,4,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
study3,,,euclidean_length,load_targeted,0.05,,damage_level,4,4,0.05,0.0,0.05,0.05,0.05,0.05,0.05
study3,,,euclidean_length,load_targeted,0.05,,segments,4,4,256.0,0.0,256.0,256.0,256.0,256.0,256.0
study3,,,euclidean_length,load_targeted,0.05,,active_segments,4,4,128.0,8.205689083394114,129.5,124.5,133.0,120.75,134.0
study3,,,euclidean_length,load_targeted,0.05,,total_length,4,4,39.89200132478078,0.5318026045618927,39.83566083429982,39.43909094742984,40.28857121165076,39.43853168134963,40.34547096821193
study3,,,euclidean_length,load_targeted,0.05,,tube_area,4,4,7.999869782319822,0.18814051642479537,7.99322131175707,7.853643191587057,8.139447902489833,7.8404556109801735,8.159283953659468
study3,,,euclidean_length,load_targeted,0.05,,junction_area,4,4,1.681721674793843,0.07576203218777972,1.6553296692186072,1.6422441371170555,1.6948072068953948,1.6331135421845393,1.750452468585066
study3,,,euclidean_length,load_targeted,0.05,,surface,4,4,9.681591457113665,0.25218706303942934,9.636012292189044,9.48334863991748,9.834255109385229,9.476430403703914,9.886752510523415
study3,,,euclidean_length,load_targeted,0.05,,delivered_traffic,4,4,41.81322415365235,3.5237607557154225,40.5724081170532,39.62434779812911,42.76128447257644,39.48095529631973,45.127367640836155
study3,,,euclidean_length,load_targeted,0.05,,normalized_surface,4,4,0.23236417043408095,0.013084813691885534,0.2375237951022505,0.23054905370286907,0.23933891183346237,0.21939595025122421,0.2401727659487681
study3,,,euclidean_length,load_targeted,0.05,,gate_entropy,4,4,0.5272955509138664,0.011752968906178178,0.5274481920347894,0.518056416056698,0.5366873268919576,0.5172296165477902,0.5373614852799424
study3,,,euclidean_length,load_targeted,0.05,,load_gini,4,4,0.5552548655273358,0.01866728225660273,0.5554897298799839,0.5447293036058627,0.5660152918014569,0.5405310670087702,0.5697437996932535
study3,,,euclidean_length,load_targeted,0.05,,surface_degradation,4,4,0.05661326596295425,0.00810977703140924,0.05303902798054535,0.05253113104774983,0.05712116289574977,0.0520425642783734,0.064758205629944
study3,,,euclidean_length,load_targeted,0.05,,traffic_degradation,4,4,18.713834738690583,3.041428809013131,18.82630983162003,16.230522682344258,21.309621887966355,16.0879532696947,21.339716207686465
study3,,,euclidean_length,load_targeted,0.1,,damage_level,4,4,0.1,0.0,0.1,0.1,0.1,0.1,0.1
study3,,,euclidean_length,load_targeted,0.1,,segments,4,4,256.0,0.0,256.0,256.0,256.0,256.0,256.0
study3,,,euclidean_length,load_targeted,0.1,,active_segments,4,4,115.0,8.205689083394114,116.5,111.5,120.0,107.75,121.0
study3,,,euclidean_length,load_targeted,0.1,,total_length,4,4,37.77026544450155,0.5488515608730131,37.74333347147649,37.3007237215702,38.21287519440784,37.29696212038294,38.24356876862015
study3,,,euclidean_length,load_targeted,0.1,,tube_area,4,4,7.392132060950997,0.20671369440461998,7.381282020888799,7.231167535516744,7.542246546323052,7.217548367881129,7.566715754020865
study3,,,euclidean_length,load_targeted,0.1,,junction_area,4,4,1.4824987629674884,0.08233822783032109,1.455743830564157,1.4256307748400872,1.5126118186915583,1.4238077219691636,1.5537997349425707
study3,,,euclidean_length,load_targeted,0.1,,surface,4,4,8.874630823918487,0.28360396698236495,8.83337974571111,8.653152204614985,9.05485836501461,8.641356089850294,9.107905557986678
study3,,,euclidean_length,load_targeted,0.1,,delivered_traffic,4,4,32.37939091707257,3.4675937703834236,31.48422045600465,30.036824669390455,33.826786703686764,29.829572236753478,35.41156081410795
study3,,,euclidean_length,load_targeted,0.1,,normalized_surface,4,4,0.27566989039616324,0.019795109488163275,0.2807902300732914,0.26834185056953047,0.2881182698999242,0.2577211883411729,0.2897358710148913
